game_id,budget,ai_color,opponent_type,winner,num_moves,game_duration_sec,avg_move_time_sec
1,1000,black,random,AI,9,1.028,0.2055
2,500,black,greedy,AI,9,0.61,0.1133
3,1000,black,greedy,AI,9,1.091,0.2096
4,5000,black,greedy,AI,9,5.283,1.0481
5,10000,black,greedy,AI,9,10.283,2.0481
6,1000,black,random,AI,9,1.083,0.2165
7,1000,white,random,AI,10,1.347,0.2693
8,1000,black,random,AI,9,1.003,0.2005
9,1000,white,random,AI,10,1.439,0.2877
10,1000,black,random,AI,9,1.039,0.2078
11,1000,white,random,AI,10,1.421,0.2842
12,1000,black,random,AI,9,1.05,0.21
13,1000,white,random,AI,10,1.331,0.2662
14,1000,black,random,AI,9,1.09,0.218
15,1000,white,random,AI,10,1.467,0.2935
16,1000,black,random,AI,9,1.027,0.2054
17,1000,white,random,AI,10,1.464,0.2928
18,1000,black,random,AI,9,1.062,0.2124
19,1000,white,random,AI,10,1.362,0.2724
20,1000,black,random,AI,9,1.049,0.2098
21,1000,white,random,AI,10,1.448,0.2895
22,1000,black,random,AI,9,1.075,0.2149
23,1000,white,random,AI,10,1.445,0.289
24,1000,black,random,AI,9,1.108,0.2216
25,1000,white,random,AI,10,1.391,0.2782
26,500,black,greedy,AI,9,0.583,0.1089
27,500,white,greedy,opponent,13,1.111,0.1729
28,500,black,greedy,AI,9,0.593,0.1102
29,500,white,greedy,opponent,9,0.636,0.148
30,500,black,greedy,AI,9,0.586,0.1088
31,500,white,greedy,opponent,9,0.639,0.1492
32,500,black,greedy,AI,9,0.586,0.1096
33,500,white,greedy,opponent,9,0.669,0.1562
34,500,black,greedy,AI,9,0.589,0.1094
35,500,white,greedy,opponent,9,0.641,0.1493
36,500,black,greedy,AI,9,0.584,0.1093
37,500,white,greedy,opponent,9,0.634,0.1478
38,500,black,greedy,AI,9,0.592,0.1098
39,500,white,greedy,opponent,9,0.638,0.1489
40,500,black,greedy,AI,9,0.606,0.1138
41,500,white,greedy,opponent,9,0.628,0.146
42,500,black,greedy,AI,9,0.572,0.1071
43,500,white,greedy,opponent,13,0.999,0.1545
44,500,black,greedy,AI,9,0.585,0.1087
45,500,white,greedy,opponent,13,1.027,0.1593
46,1000,black,greedy,AI,9,1.088,0.2092
47,1000,white,greedy,opponent,9,1.264,0.3049
48,1000,black,greedy,AI,9,1.101,0.2113
49,1000,white,greedy,AI,12,1.879,0.3015
50,1000,black,greedy,AI,9,1.075,0.2065
51,1000,white,greedy,opponent,9,1.331,0.3218
52,1000,black,greedy,AI,9,1.073,0.2062
53,1000,white,greedy,AI,12,1.779,0.2848
54,1000,black,greedy,AI,9,1.164,0.2245
55,1000,white,greedy,opponent,9,1.245,0.3002
56,1000,black,greedy,AI,9,1.088,0.2089
57,1000,white,greedy,opponent,9,1.331,0.3218
58,1000,black,greedy,AI,9,1.074,0.2063
59,1000,white,greedy,opponent,9,1.232,0.297
60,1000,black,greedy,AI,9,1.069,0.2054
61,1000,white,greedy,opponent,9,1.328,0.3213
62,1000,black,greedy,AI,9,1.107,0.2127
63,1000,white,greedy,opponent,9,1.264,0.3049
64,1000,black,greedy,AI,9,1.178,0.2271
65,1000,white,greedy,opponent,9,1.261,0.3043
66,5000,black,greedy,AI,9,5.08,1.0076
67,5000,white,greedy,opponent,9,6.422,1.5948
68,5000,black,greedy,AI,9,5.096,1.0108
69,5000,white,greedy,opponent,9,6.465,1.6041
70,5000,black,greedy,AI,9,5.118,1.0152
71,5000,white,greedy,opponent,9,6.454,1.6031
72,5000,black,greedy,AI,9,5.141,1.0198
73,5000,white,greedy,opponent,9,6.436,1.5983
74,5000,black,greedy,AI,9,5.083,1.0082
75,5000,white,greedy,opponent,9,6.441,1.5995
76,5000,black,greedy,AI,9,5.116,1.0147
77,5000,white,greedy,opponent,9,6.415,1.593
78,5000,black,greedy,AI,9,5.099,1.0115
79,5000,white,greedy,opponent,9,6.491,1.6121
80,5000,black,greedy,AI,9,5.07,1.0056
81,5000,white,greedy,opponent,9,6.481,1.6094
82,5000,black,greedy,AI,9,5.136,1.0185
83,5000,white,greedy,opponent,9,6.496,1.6131
84,5000,black,greedy,AI,9,5.069,1.0053
85,5000,white,greedy,opponent,9,6.589,1.6363
86,10000,black,greedy,AI,9,10.293,2.0502
87,10000,white,greedy,opponent,13,20.725,3.4425
88,10000,black,greedy,AI,9,10.118,2.0153
89,10000,white,greedy,opponent,13,21.048,3.496
90,10000,black,greedy,AI,9,10.212,2.034
91,10000,white,greedy,opponent,13,20.818,3.4576
92,10000,black,greedy,AI,9,10.258,2.0432
93,10000,white,greedy,opponent,13,20.758,3.4477
94,10000,black,greedy,AI,9,10.352,2.062
95,10000,white,greedy,opponent,13,20.708,3.4385
96,10000,black,greedy,AI,9,10.225,2.0366
97,10000,white,greedy,opponent,13,20.67,3.4332
98,10000,black,greedy,AI,9,10.359,2.0634
99,10000,white,greedy,opponent,13,20.845,3.4607
100,10000,black,greedy,AI,9,10.261,2.0439
101,10000,white,greedy,opponent,13,20.822,3.4585
102,10000,black,greedy,AI,9,10.249,2.0414
103,10000,white,greedy,opponent,13,20.859,3.4634
104,10000,black,greedy,AI,9,10.501,2.0918
105,10000,white,greedy,opponent,13,20.848,3.463
